DataWereReceived,Name,FullPrice,DiscountedPrice,ArticleNumber,Brand,IsAvailable,Url
true,Душевая система Kerama Marazzi NOTA на 2 потока с механическим смесителем с ручным душем на 5 режимов,55200,,8236KM.21.018,Kerama Marazzi,true,https://magbo.ru/catalog/detail/dushevaya-sistema-kerama-marazzi-nota-na-2-potoka-s-mekhanicheskim-smesitelem-s-ruchnym-dushem-na-5-/
true,Смеситель встроенного монтажа Kerama Marazzi NOTA с гигиеническим душем,22400,,27405KM.21.018,Kerama Marazzi,true,https://magbo.ru/catalog/detail/smesitel-vstroennogo-montazha-kerama-marazzi-nota-s-gigienicheskim-dushem-khrom/
true,Смеситель для душа Kerama Marazzi NOTA без лейки,10360,,33090KM.21.018,Kerama Marazzi,true,https://magbo.ru/catalog/detail/smesitel-dlya-dusha-kerama-marazzi-nota-bez-leyki-khrom/
true,Смеситель для ванны Kerama Marazzi NOTA с дивертором ванна/душ,14200,,33080KM.21.018,Kerama Marazzi,true,https://magbo.ru/catalog/detail/smesitel-dlya-vanny-kerama-marazzi-nota-s-divertorom-vanna-dush-bez-leyki-khrom/
true,Смеситель для раковины Kerama Marazzi NOTA с донным клапаном,10000,,33010KM.21.018,Kerama Marazzi,true,https://magbo.ru/catalog/detail/smesitel-dlya-rakoviny-kerama-marazzi-nota-s-donnym-klapanom-3-8-khrom/
true,Смеситель для биде Kerama Marazzi ETERNA с донным клапаном 3/8”,74200,,69623XKM.59.067,Kerama Marazzi,true,https://magbo.ru/catalog/detail/smesitel-dlya-bide-kerama-marazzi-eterna-s-donnym-klapanom-3-8-brashirovannaya-med-pvd/
true,Смеситель для биде Kerama Marazzi ETERNA c донным клапаном 3/8”,50400,,69623XKM.50.050,Kerama Marazzi,true,https://magbo.ru/catalog/detail/smesitel-dlya-bide-kerama-marazzi-eterna-c-donnym-klapanom-3-8-nerzhaveyushchaya-stal/
true,Универсальная внутренняя часть Kerama Marazzi для термостатического кнопочного смесителя на два потока для душа,69300,,27751KM.00.000,Kerama Marazzi,true,https://magbo.ru/catalog/detail/universalnaya-vnutrennyaya-chast-kerama-marazzi-dlya-termostaticheskogo-knopochnogo-smesitelya-na-dv/
true,Смеситель для раковины Kerama Marazzi ETERNA без донного клапана,50000,,69628EXKM.59.067,Kerama Marazzi,true,https://magbo.ru/catalog/detail/smesitel-dlya-rakoviny-kerama-marazzi-eterna-bez-donnogo-klapana-brashirovannaya-med-pvd/
true,Смеситель для раковины Kerama Marazzi ETERNA без донного клапана,37200,,69628EXKM.50.050,Kerama Marazzi,true,https://magbo.ru/catalog/detail/smesitel-dlya-rakoviny-kerama-marazzi-eterna-bez-donnogo-klapana-nerzhaveyushchaya-stal/
